Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Hyuga Hinata	5DS1	HinataHyuga	Konohagakure Genin	Light	3	850	1000	3		"¡Yo jamas retrocedere a mi palabra, ese es mi camino ninja!" 
Shuriken	5DS1	shuriken	Equip Spell					3		Un ninja equipado con esta carta aumenta su ATK en 300 puntos. Solo puedes equipar 2 cartas de "Shuriken" a un ninja.
Ramen	5DS1	Ramen	Normal Spell					3		Incrementa tus Life Points en 400 puntos.
Hyuga Hinata Effect	5DS1	HinataHyugaEfecto	Konohagakure Genin/Efecto	Light	4	1200	1150	3		Puedes declarar un ataque con esta carta sin efectuar calculo de daño. El ninja del oponente que sea designado como objetivo de un ataque efectuado por esta carta, no podra activar su efecto hasta el siguiente turno de tu oponente.
Kage Bunshin no Jutsu	5DS1	KageBunshinNoJutsu	Quick-Play Spell					3		Debes controlar a "Uzumaki Naruto" para activar esta carta. Invoca de forma especial 4 "fichas Clon de Sombra" (Konohagakure Genin/WIND/Level 3/ATK 1000/DEF 1000) en modo de ataque. Estas fichas no pueden ser sacrificadas para invocar a otra carta de "Uzumaki Naruto". El daño de batalla es reducido a 0. Si "Uzumaki Naruto" abandona el campo, las fichas son destruidas.
Bunshin no Jutsu	5DS2	bunshin	Normal Spell					3		Selecciona 1 carta de ninja tipo "Genin" que controles. Durante tu Battle Phase, podra atacar 3 veces hasta el final del turno en el que es activada esta carta (no podra atacar directamente a los Life Points del oponente).
Aburame Shino	5DS2	ShinoAburame	Konohagakure Genin	Earth	3	990	1050	3		"Si peleas contra mi, no seras capaz de recuperarte. Perderas y te retiraras" 
Aburame Shino Effect	5DS2	ShinoAburameEfecto	Konohagakure Genin/Efecto	Earth	4	1150	1300	3		Solo puedes activar este efecto una vez por turno durante tu Main Phase. Coloca 1 "Contador de Insectos" en esta carta. Si fuera a ser destruida como resultado de una batalla, retira 1 "Contador de Insectos" colocado sobre ella en su lugar.

Yamanaka Ino Effect	5DS2	InoYamanakaEfecto	Konohagakure Genin/Efecto	Light	4	850	1000	3		Selecciona una carta de ninja que el oponente controle. No podrá declarar ataques, activar su efecto o cambiar su posición de batalla mientras esta carta esté presente en el campo.
Nara Shikamaru	5DS2	ShikamaruNara	Konohagakure Genin	Dark	3	700	1050	3		"¡Que aburrido! ¡Que fastidio! ¡Que lata! ¿Por que siempre me toca pelear a mi?" 
Fuin no Sho	5DS2	fuin	Normal Spell					1		Agrega 1 carta de "Kage Bunshin no Jutsu" o de "Taju Kage Bunshin no Jutsu" de tu mazo a tu mano. Mezcla el mazo.
Nara Shikamaru Effect	5DS2	ShikamaruNaraEfecto	Konohagakure Genin/Efecto	Dark	4	800	1300	3		Selecciona una carta de ninja que el oponente controle. No podra declarar ataques, activar su efecto, cambiar su posicion de batalla o abandonar el campo (por sacrificio o por efectos de otras cartas). Si "Nara Shikamaru" abandona el campo, este efecto se cancela.
Akimichi Choji	5DS2	ChoujiAkimichi	Konohagakure Genin	Earth	3	1100	1250	3		"¡No me digas que soy gordo, solo estoy llenito!" 

Hyuga Neji	5DS3	NejiHyuga	Konohagakure Genin	Wind	4	1150	1300	3		"Dejame preguntarte algo... ¿Por que luchas tanto contra tu destino?"

Akimichi Choji Effect	5DS3	ChoujiAkimichiEfecto	Konohagakure Genin/Efecto	Earth	4	1250	1300	3		Puedes activar este efecto una vez por turno. Durante tu fase de batalla, incrementa el ATK de esta carta en 300 puntos hasta el final de tu turno.
Sellos Explosivos	ABPF	sellos	Normal Trap					3		Inflige 400 puntos de daño a los Life Points del oponente.
Hyuga Neji Effect	5DS2	NejiHyugaEfecto	Konohagakure Genin/Efecto	Wind	4	1450	1500	3		Puedes activar este efecto luego de que esta carta haya destruido 1 carta de ninja del oponente. Esta carta no puede ser declarada como objetivo del ataque de un ninja del oponente hasta el siguiente turno de tu oponente.

Rock Lee	ABPF	RockLee	Konohagakure Genin	Earth	4	1100	1150	3		"¡El trabajo duro, vence al talento natural!" 
Rock Lee Effect	ABPF	RockLeeEfecto	Konohagakure Genin/Efecto	Earth	4	1400	1550	3		Esta carta puede atacar 2 veces por turno.Tenten	ABPF	Tenten	Konohagakure Genin	Light	4	950	1050	3		"¡No soporto la gente debil e indecisa!"
Tenten Effect	ABPF	TentenEfecto	Konohagakure Genin/Efecto	Light	4	1150	1200	3		Una vez por turno, puedes activar este efecto. Lanza una moneda a cara o cruz. Si sale cara, esta carta puede atacar directamente a los LP de tu oponente. Si sale cruz, este efecto finaliza.
Henge no Jutsu	ABPF	henge	Normal Spell					3		Activa esta carta para transferir los puntos de ATK y DEF de una carta de ninja que tu oponente controle, a una carta de ninja que controles en tu lado del campo por los próximos 2 turnos.
Sharingan	ABPF	sharingan	Continuous Spell					1		Equipa con esta carta a "Uchiha Sasuke o "Hatake Kakashi". Mientras esta carta esté activa en el campo, el ninja equipado no podrá ser seleccionado por efectos de cartas de ninja del oponente.

Tenten	ABPF	Tenten	Konohagakure Genin	Light	4	950	1050	3		"¡No soporto la gente debil e indecisa!" 
Mushi Bunshin no Jutsu	ABPF	mushibunshin	Quick-Play Spell					3		Cuando una carta de "Aburame Shino" que controles es seleccionada para un ataque de un ninja enemigo, reduce el daño de batalla a 0 hasta el final del turno.
Akamaru	ABPF	Akamaru	Ninken	Earth	2	200	500	3		El compañero de Inuzuka Kiba. Un perro ninja muy sagaz, con la capacidad de detectar el chakra del oponente junto con la cantidad que posee.
Hatake Kakashi lvl 6	ABPF	KakashiHatakeEfecto	Konohagakure Jonin/Efecto	Water	6	2300	2500	1		Puedes activar este efecto una sola vez por turno. Espia la mano de tu oponente. Esta carta puede ser seleccionada por cartas magicas que sólo puedan utilizarse en otros ninjas.Yuhi Kurenai	ABPF	KurenaiYuhi	Konohagakure Jonin/Efecto	Dark	4	1700	1500	1		Esta carta no puede ser destruida como resultado de una batalla. Una vez por turno, selecciona a un ninja del oponente, el cual no podrá atacar hasta su siguiente turno.
Sabaku no Gaara	ABPF	SabakuNoGaara	Sunagakure Genin	Earth	4	1100	1500	3		"Convirtamos esta tormenta de agujas... ¡¡en una lluvia de sangre!!"
Kirigakure no Jutsu	ABPF	kirigakurenojutsu	Continuous Spell					1		Solo puedes activar esta carta si "Neblina Densa" se encuentra en el campo. Mientras esta carta permanezca activa en el campo, "Momochi Zabuza" no podra ser atacado por ninjas del oponente. Si "Momochi Zabuza" se encuentra afectado por "Doton: Tsuiga no Jutsu", esta carta no puede ser activada.
Hatake Kakashi	ABPF	KakashiHatake	Konohagakure Jonin	Earth	4	1800	1600	3		"Si todas las personas supieran como usar sus talentos, este seria un mundo perfecto" 
Yuhi Kurenai	ABPF	KurenaiYuhi	Konohagakure Jonin/Efecto	Dark	4	1700	1500	1		Una vez por turno, durante la Main Phase del turno de cualquier jugador, selecciona 1 carta de ninja del oponente. No podrá declarar ataques hasta el siguiente turno del oponente.
Momochi Zabuza	ABPF	ZabuzaMomochi	Nukenin/Efecto	Water	7	2100	2500	1		Esta carta solo puede ser invocada de forma especial. Una vez por turno, puedes activar este efecto durante la fase de batalla: "Momochi Zabuza" no podrá ser destruido como resultado de una batalla.
Haku	ABPF	Haku	Kirigakure ANBU/Efecto	Water	4	1600	1900	1		Esta carta no puede ser destruida como resultado de una batalla. Una vez por turno, puedes activar este efecto durante la fase de batalla de tu turno: "Haku" podra atacar a mas de un ninja enemigo.
Umino Iruka	ABPF	IrukaUmino	Konohagakure Chunin	Fire	4	1600	1300	3		Iruka es un instructor en la academia ninja. Es respetado por los mas ancianos de la aldea y por sus alumnos tambien.
Yakushi Kabuto	ABPF	KabutoYakushi	Otogakure Genin	Earth	4	1500	1300	3		"Yo soy Yakushi Kabuto. Pero enserio, miren a su alrededor. Estan dando una muy mala impresion" 
Maito Gai	ABPF	MaitoGai	Konohagakure Jonin/Efecto	Earth	5	1900	2000	1		Si "Rock Lee se encuentra en tu lado del campo, puedes invocar esta carta de modo especial. "Rock Lee" gana 300 puntos de ATK y DEF mientras esta carta permanezca en el campo.
Contrato del Ninja Renegado	ABPF	contrato	Normal Spell					2		Solo puedes activar esta carta si no controlas cartas en tu Zona de Cartas de Ninja/No-Ninja. Debes pagar 2000 Life Points para activar este efecto. Invoca de forma especial desde tu mazo o mano, 1 carta de "Momochi Zabuza" en modo de ataque boca arriba. Si lo haces desde tu mazo, mezclalo posteriormente. No podras invocar mas cartas de ninja (de forma normal o especial) durante el turno en el que es activada esta carta.

Sabaku no Gaara lvl 5	ABPF	SabakuNoGaaraEfecto	Sunagakure Genin/Efecto	Earth	5	1300	1700	2		Puedes activar este efecto cuando esta carta es atacada por un ninja que el oponente controle. Cambia esta carta a modo de defensa.
Sabaku no Kankuro	ABPF	SabakuNoKankuro	Sunagakure Genin	Dark	4	1000	1500	3		"Te voy a mostrar el  poder real de batalla de marionetas."
Sabaku no Kankuro lvl 5	ABPF	SabakuNoKankuroEfecto	Sunagakure Genin/Efecto	Dark	5	1400	1600	2		Si "Karasu" y "Kuroari" estan presentes en el campo, esta carta recibe 500 puntos de DEF por cada una. Cuando "Karasu" y "Kuroari" abandonan el campo, la DEF de esta carta regresa a su valor original.
Sen Nen Goroshi	ABPF	sennengoroshi	Normal Trap					3		Selecciona una carta de ninja que tu oponente controle. No podrá declarar ningun ataque hasta el siguiente turno.
Suiton: Suiryudan no Jutsu	ABPF	suiryudan	Normal Spell					3		Selecciona una carta de "Momochi Zabuza". Incrementa su ATK en 1000 puntos hasta el final del turno.

Kubikiribocho	ABPF	kubikiribocho	Equip Spell					1		Sólo puedes equipar esta carta a "Momochi Zabuza". Incrementa su ATK en 700 puntos.
Sabaku no Temari	ABPF	SabakuNoTemari	Sunagakure Genin	Wind	4	900	1600	3		"No era mucho de una pelea, un poco aburrido"
Makibishi	ABPF	makibishi	Normal Trap					3		Activa esta carta cuando un ninja del oponente declara un ataque. Inflige 100 puntos de daño a los Life Points del oponente.Sabaku no Temari lvl 5	ABPF	SabakuNoTemariEfecto	Sunagakure Genin/Efecto	Wind	5	1300	1750	3		Durante la fase de batalla, en tu turno, aumenta el ATK de esta carta en 300 puntos. "Temari" se volverá invulnerable hasta tu siguiente turno.
Abumi Zaku	ABPF	ZakuAbumi	Otogakure Genin	Earth	4	1000	900	3		"¡Onda supersonica de sonido cortante!".
Doton: Shinjuzanshu no Jutsu	ABPF	shinjuzanshu	Continuous Trap					3		Selecciona un ninja tipo "Genin" en el campo del oponente. No podra declarar ningun ataque, ser retirado del campo (por sacrificio o por efectos), ni activar su efecto mientras esta carta permanezca activa en el campo. Ninguna carta magica o trampa que involucre a esa carta puede ser usada.
Neblina Densa	ABPF	neblina	Field Spell					3		Incrementa los puntos de ATK y DEF de todos los ninja con atributo WATER en 300 puntos. Disminuye el ATK de todos los ninja con atributo FIRE en 300 puntos. Mientras esta carta permanezca activa en el campo, ninguna carta de "Sharingan" puede ser activada. El efecto de las cartas de "Sharingan" que permanezcan en el campo desde turnos anteriores sera negado.
Sabaku no Temari lvl 5	ABPF	SabakuNoTemariEfecto	Sunagakure Genin/Efecto	Wind	5	1300	1750	2		Durante la fase de batalla, en tu turno, aumenta el ATK de esta carta en 300 puntos. "Temari" se volverá invulnerable hasta tu siguiente turno.
Makibishi	ABPF	makibishi	Normal Trap					3		Cuando un ninja del oponente declara un ataque, selecciona al ninja atacante: niega el ataque, e inflige 200 puntos de daño a los Life Points del oponente.Akado Yoroi	ABPF	YoroiAkado	Otogakure Genin	Dark	4	1200	1000	3		"Con que todavia te quedan fuerzas. Impresionante para un conejillo de indias".
Kinuta Dosu	ABPF	DosuKinuta	Otogakure Genin	Earth	4	1200	1100	3		"El esfuerzo por si solo no hace nada, tonto. Ahora mira, vamos a mostrarte algo que se llama pared".
Suiro no Jutsu	ABPF	suiro	Continuous Spell					2		Debes controlar a "Momochi Zabuza" para activar esta carta. Selecciona una carta de ninja que tu oponente controle. Mientras esta carta siga activa en el campo, el ninja seleccionado no podra atacar, utilizar su efecto, o retirarse del campo. Ninguna carta magica o trampa que involucre a esa carta puede ser usada. Si "Zabuza" abandona el campo, esta carta es destruida.
Akado Yoroi	ABPF	YoroiAkado	Otogakure Genin	Dark	4	1200	1000	3		"Con que todavia te quedan fuerzas. Impresionante para un conejillo de indias".
Tsurugi Misumi	ABPF	MisumiTsurugi	Otogakure Genin	Water	4	1200	900	3		"Podria romperte el cuello ahora mismo si quisiera. Y lo hare a menos que te rindas".
Tsuchi Kin	ABPF	KinTsuchi	Otogakure Genin	Dark	4	950	800	3		Si ese es el unico tructo que tienes, esto sera mas facil de lo que pense.
Makyo Hyosho	ABPF	makyo	Continuous Spell					1		Debes controlar a "Haku". Invoca de modo especial hasta 4 "Fichas Espejo" (Kirigakure ANBU/WATER/Level 1/ATK 1000/DEF 1000) en modo de defensa. Las fichas no pueden ser destruidas. Haku no podra ser destruido ni seleccionado por efectos de cartas magicas/trampa del oponente o efectos de ninja. Si esta carta es destruida, destruye todas las fichas invocadas por ella.
Mizu Bunshin no Jutsu	ABPF	mizubunshin	Quick-Play Spell					3		Cuando un ninja con atributo WATER es atacado, niega el ataque.
Senbon	ABPF	Senbon	Equip Spell					2		Equipa esta carta a "Haku". Mientras esta carta siga equipada, brinda el siguiente efecto: "Puedes atacar a una carta de ninja del oponente sin realizar calculo de daño. El ninja que sea atacado por un ninja equipado con esta carta, no podra atacar en su siguiente turno.
Oboro	ABPF	Oboro	Amegakure Genin/Efecto	Water	4	1200	1400	3		Mientras "Mubi" y "Kagari" esten presentes en tu lado del campo, esta carta gana 100 puntos de ATK y DEF.
Mubi	ABPF	Mubi	Amegakure Genin/Efecto	Water	4	1250	1400	3		Mientras "Kagari" y "Oboro" esten presentes en tu lado del campo, esta carta gana 100 puntos de ATK y DEF.Kagari	ABPF	Kagari	Amegakure Genin/Efecto	Water	4	1300	1300	3		Mientras "Mubi y "Oboro" esten presentes en tu lado del campo, esta carta gana 100 puntos de ATK y DEF.
Shigure	ABPF	Shigure	Amegakure Genin	Water	4	1300	1000	3		Un genin de la Aldea de la Lluvia cuya tecnica especial es la "Lluvia de Senbon".

Kagari	ABPF	Kagari	Amegakure Shinobi/Efecto	Water	4	1400	1300	3		Mientras "Mubi y "Oboro" esten presentes en el campo, esta carta gana 100 puntos de ATK y DEF.

Suiton: Daibakufu no Jutsu	ABPF	daibafuku	Normal Spell					3		Selecciona una carta de "Momochi Zabuza". Incrementa su ATK en 1500 puntos hasta el final del turno.
Sabaku Kyu	AST	sabakukyu	Continuous Trap					1		Debes controlar a "Sabaku no Gaara" para activar esta carta. Selecciona 1 ninja que tu oponente controle. No podra atacar, activar su efecto, cambiar su posición de batalla o abandonar el campo mientras esta carta permanezca activa. Ninguna carta magica o de trampa que involucre a esa carta puede ser usada. El ninja afectado por esta carta no puede ser atacado. Si "Sabaku no Gaara" abandona el campo, destruye esta carta.
Sabaku Soso	AST	sabakusoso	Normal Trap					1		Selecciona y destruye a 1 ninja equipado con "Sabaku Kyu".
Zankuha	AST	zankuha	Quick-Play Spell					3		Incrementa los puntos de ATK de "Abumi Zaku" en 500 puntos hasta el final de la Battle Phase del turno en el que fue activada esta carta.
Equipo Kakashi	AST	equipokakashi	Normal Spell					3		Selecciona 1 carta de "Uzumaki Naruto", "Uchiha Sasuke" o "Haruno Sakura" de tu mazo y añadela a tu mano. Luego mezcla el mazo.
Kagemane no Jutsu	AST	Kagemane	Continuous Trap					2		Debes controlar a "Nara Shikamaru" para activar esta carta. Selecciona 1 ninja que tu oponente controle. No podra atacar, activar efectos, cambiar su posicion de batalla, ser sacrificado o regresado a la mano. Ninguna carta magica o de trampa que involucre a esa carta puede ser usada. Si "Nara Shikamaru" abandona el campo, destruye esta carta. Si el ninja afectado por esta carta es destruido, destruye esta carta.

Robar Chakra	AST	robarchakra	Equip Spell					3		Debes controlar a "Akado Yoroi" para activar esta carta. Durante la Battle Phase de tu turno, si "Akado Yoroi" declara un ataque, puedes activar el siguiente efecto: *Puedes efectuar un ataque sin realizar cálculo de daño. El ninja declarado como objetivo del ataque de "Akado Yoroi" reduce sus puntos de ATK a la mitad. Los puntos reducidos son añadidos a "Akado Yoroi".
Equipo Kurenai	AST	equipokurenai	Normal Spell					3		Selecciona 1 carta de "Inuzuka Kiba", "Aburame Shino" o "Hyuga Hinata" de tu mazo y añadela a tu mano. Luego mezcla el mazo.
Baiu	ABPF	Baiu	Amegakure Genin	Water	4	1150	1300	3		Un genin de la Aldea de la Lluvia, compañero de Shigure durante el examen de ascenso a Chuunin.
Midare	AST	Midare	Amegakure Genin	Water	4	1200	1500	3		Un genin de la Aldea de la Lluvia, compañero de Shigure durante el examen de ascenso a Chuunin.

Equipo Asuma	AST	equipoasuma	Normal Spell					3		Selecciona 1 carta de "Yamanaka Ino", "Nara Shikamaru" o "Akimichi Choji" de tu mazo y añadela a tu mano. Luego mezcla el mazo.
Equipo Gai	AST	equipogai	Normal Spell					3		Selecciona 1 carta de "Hyuga Neji", "Rock Lee" o "Tenten" de tu mazo y añadela a tu mano. Luego mezcla el mazo.
Oboro Bunshin no Jutsu	AST	OboroBunshin	Continuous Spell					1		Una vez por turno, puedes invocar de forma especial 1 "Ficha Clon de Niebla" (Amegakure Shinobi/WATER/Level 3/ATK 800/DEF 1000) en modo de ataque. El daño de batalla efectuado a estas fichas se reduce a 0. Si "Oboro", "Kagari" y "Mubi" son invocados boca arriba en tu lado del campo (de forma normal o especial), destruye esta carta y todas las fichas invocadas por ella.
Sarutobi Asuma	AST	AsumaSarutobi	Konohagakure Jonin	Fire	4	1750	1700	3		"Un comilon, una neurotica y un vago... estoy preocupado por estos tres." 
Contraataque	AST	contraataque	Quick-Play Spell					3		Durante la End Phase del turno de tu oponente, si una carta de ninja que controlas fue regresada a tu mano por el efecto de "Kawarimi", puedes activar esta carta para regresarla al campo en el mismo turno en el que fue regresada a la mano.
Kyubi Naruto	AST	KyubiNaruto	Jinchuriki/Efecto	Fire	6	1800	1650	1		Esta carta no puede ser invocada de modo normal. Debe ser invocada de modo especial por el efecto de "Chakra de Kyubi". Durante tu Battle Phase aumenta el ATK de esta carta en 800 puntos. El ATK de las cartas que ataquen a esta carta es reducido a la mitad.Cursed Mark Sasuke #1	AST	CursedMarkSasuke	Cursed Seal Shinobi/Efecto	Dark	6	1700	1950	1		Esta carta no puede ser invocada de modo normal. Debe ser invocada de modo especial por el efecto de "Ten no Juin". Esta carta no puede ser afectada por efectos de cartas de ninja. Durante la Battle Phase del turno de cualquier jugador, aumenta su ATK en 300 puntos.
Sacrificarse por el indefenso	AST	sacrificarse	Quick-Play Spell					3		Cuando una carta de ninja de tipo "Konohagakure Genin" que controles sea declarada como objetivo del ataque de un ninja que tu oponente controla, puedes activar esta carta. Selecciona una carta de "Umino Iruka" que controles y designala como el nuevo objetivo del ataque de tu oponente. No se realiza calculo de daño.
Salvataje	AST	salvataje	Quick-Play Spell					1		Cuando una carta de "Momochi Zabuza" que controles pueda ser destruida en batalla, puedes activar esta carta para regresarla al fondo de tu mazo.
Shintenshin no Jutsu	AST	shintenshin	Continuous Trap					1		Debes controlar a "Yamanaka Ino" para activar esta carta. Selecciona 1 ninja en el lado del campo de tu oponente y toma el control de ese ninja por 5 turnos. "Yamanaka Ino" no podra atacar, cambiar su posicion de batalla, activar efectos o ser retirada del campo por un efecto de otra carta. Si el ninja controlado es destruido, "Yamanaka Ino" tambien. Si "Yamanaka Ino" es destruida, el ninja es controlado de forma permanente.
Katon: Gokakyu no Jutsu	AST	gokakyu	Normal Spell					3		Incrementa el ATK de un ninja que contenga "Uchiha" en su nombre en 800 puntos durante el turno en el que fue activada esta carta. Solo puedes activar 1 "Katon: Gokakyu no Jutsu" por turno.
Harem no Jutsu	ABPF	harem	Quick-Play Spell					3		Debes controlar a "Uzumaki Naruto". Selecciona una carta de ninja masculino que tu oponente controle. No podra declarar ningun ataque durante el turno en que fue activada esta carta.
Raikiri	AST	raikiri	Equip Spell					1		Incrementa el ATK de "Hatake Kakashi" en 1500 puntos. Cuando "Hatake Kakashi" ataca a un ninja del oponente (en cualquier posición de batalla), inflige un daño adicional a los LP del oponente equivalente a la mitad de sus puntos de ATK. Al finalizar la fase de batalla, esta carta equipada a "Hatake Kakashi" es enviada al cementerio.
Baika no Jutsu	AST	baikanojutsu	Continuous Spell					3		Debes controlar a "Akimichi Choji" para activar esta carta. Mientras esta carta este activa en el campo, puedes activar la carta magica "Nikudan Sensha". Cuando "Akimichi Choji" pueda ser destruido (como resultado de una batalla o por efectos), envía esta carta al Cementerio. Solo puede haber 1 "Baika no Jutsu" en tu lado del campo.

Taju Kage Bunshin no Jutsu	AST	tayukagebunshin	Normal Spell					1		Selecciona una carta de "Uzumaki Naruto" que controles. Aumenta su ATK en 1800 puntos durante el turno en que esta carta fue activada. En adicion, "Uzumaki Naruto" podra atacar a más de un ninja del oponente hasta el final de la fase de batalla del turno en el que fue activada esta carta (no podrá atacar directamente a los puntos de vida del oponente).
Doton: Tsuiga no Jutsu	AST	tsuiga	Continuous Trap					1		Debes controlar a "Hatake Kakashi" para activar esta carta. Selecciona una carta de "Momochi Zabuza" que tu oponente controle y equipala con esta carta. No podra activar su efecto, declarar ataques ni cambiar su posicion de batalla mientras esta carta siga activa en el campo. Si "Hatake Kakashi" abandona el campo, destruye esta carta. "Momochi Zabuza" no podra ser seleccionado por el efecto de "Mizu Bunshin no Jutsu".
Oiroke no Jutsu	AST	Oiroke	Quick-Play Spell					3		Cuando "Uzumaki Naruto" es declarado como objetivo para un ataque de un ninja masculino que el oponente controle, puedes activar esta carta para cancelarlo. En adición, niega todos los ataques de ninjas masculinos que el oponente controla hasta el final del turno.

Nikudan Sensha	AST	nikudansensha	Equip Spell					3		Solo puedes activar esta carta mientras "Baika no Jutsu" este activa en el campo. Equipa esta carta a "Akimichi Choji" y aumenta sus puntos de ATK y DEF en 600 puntos. Si "Baika no Jutsu" abandona el campo, esta carta es destruida. Solo puede haber 1 "Nikudan Sensha" en tu lado del campo.

Zankukyokuha	AST	Zankukyokuha	Normal Spell					2		Puedes activar esta carta magica unicamente si controlas a "Abumi Zaku". Lanza una moneda. Si el resultado es cara, selecciona y destruye hasta 3 cartas de ninja boca arriba que el oponente controle.Konohagakure no Sato	AST	konohagakurenosato	Field Spell					3		Incrementa en 300 puntos el ATK y la DEF de todos los ninjas tipo "Konohagakure Genin", "Konohagakure Chunin", y "Konohagakure Jonin" en el campo.
Konohagakure no Sato	AST	konohagakurenosato	Field Spell					3		Incrementa en 300 puntos el ATK y la DEF de todos los ninjas tipo "Konohagakure Genin", "Konohagakure Chunin", y "Konohagakure Jonin" en el campo.
Suna no Yoroi	AST	sunanoyoroi	Equip Spell					3		Equipa con esta carta a "Sabaku no Gaara" para incrementar sus puntos de DEF en 1000 puntos. Si "Sabaku no Gaara" fuera a ser destruido (en batalla o por efectos de cartas mágicas/trampa del oponente), destruye esta carta.
Karasu	AST	Karasu	Marioneta/Efecto	Dark	3	1400	1200	3		Esta carta no puede ser invocada de modo normal. Debes invocarla de modo especial teniendo a "Sabaku no Kankuro" en tu lado del campo. Esta carta puede atacar a mas de una carta de ninja por turno. Si "Sabaku no Kankuro"  es destruido, envia esta carta a tu mano.
Kugutsu no Jutsu	AST	KugutsuNoJutsu	Quick-Play Spell					3		Busca en tu mazo 1 carta de "Karasu" o "Kuroari". Añadela a tu mano. Luego mezcla el mazo.
Kamaitachi no Jutsu	CDIP	kamaitachinojutsu	Quick-Play Spell					3		Cuando "Sabaku no Temari" es seleccionada como objetivo de un ataque de un ninja del oponente, niega el ataque. Si el ninja esta equipado con cartas magicas de equipamiento de armas, destruye todas las cartas unidas a el. Si "Sabaku no Temari" esta equipada con "Kyodai Sensu", puedes colocar esta carta boca abajo en lugar de mandarla al Cementerio.
Kyomeisen	CDIP	Kyomeisen	Normal Trap					3		Debes controlar a "Kinuta Dosu" para activar esta carta. Selecciona una carta de ninja que tu oponente controle. No podra atacar durante los proximos 3 turnos
Formacion Ino-Shika-Cho	CDIP	inoshikachou	Normal Spell					3		Solo puedes activar esta carta cuando tu oponente declara un ataque directo. Invoca de forma especial, desde tu mano, 1 carta de "Yamanaka Ino", "Nara Shikamaru" y "Akimichi Choji". Tu oponente finaliza la Battle Phase del turno en el que es activada esta carta.

Byakugan Hinata	CDIP	byakuganhinata	Continuous Spell					1		Debes controlar a "Hyuga Hinata" para activar esta carta. Una vez por turno, mientras esta carta permanezca activa en el campo, puedes seleccionar una carta magica/trampa boca abajo en el lado del campo de tu oponente. Volteala, y luego regresala a su posicion original. Si "Hyuga Hinata" es destruida, envia esta carta al Cementerio.
